Hugo_Symbol	Entrez_Gene_Id	Center	Tumor_Sample_Barcode	Fusion	DNA_support	RNA_support	Method	Frame
TMPRSS2		su2c	MO_1410	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	SC_9003	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	SC_9009	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	SC_9016	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	SC_9017	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	SC_9018	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	SC_9020	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	SC_9022	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	SC_9026	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	SC_9034	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	SC_9035	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	SC_9037	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	SC_9046	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	SC_9049	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	SC_9056	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	SC_9059	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	SC_9060	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	SC_9061	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	SC_9063	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	SC_9066	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	SC_9071	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	SC_9086	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	SC_9092	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	SC_9097	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	SC_9104	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	SC_9107	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	SC_9109	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	TP_2001	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	TP_2034	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	TP_2054	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
SLC45A3		su2c	SC_9050	SLC45A3-ERG fusion	unknown	unknown	unknown	unknown
SLC45A3		su2c	SC_9068	SLC45A3-ERG fusion	unknown	unknown	unknown	unknown
SLC45A3		su2c	SC_9099	SLC45A3-ERG fusion	unknown	unknown	unknown	unknown
ACPP		su2c	6115114	ACPP-ETV1 fusion	unknown	unknown	unknown	unknown
SLC45A3		su2c	6115118	SLC45A3-ETV1 fusion	unknown	unknown	unknown	unknown
BF222283		su2c	SC_9019	BF222283-ETV1 fusion	unknown	unknown	unknown	unknown
YWHAE		su2c	SC_9027	YWHAE-ETV1 fusion	unknown	unknown	unknown	unknown
AGR2		su2c	SC_9028	AGR2-ETV1 fusion	unknown	unknown	unknown	unknown
ALOX15B		su2c	SC_9055	ALOX15B-ETV1 fusion	unknown	unknown	unknown	unknown
HNRNPA2B1		su2c	SC_9057	HNRNPA2B1-ETV1 fusion	unknown	unknown	unknown	unknown
FAM115A		su2c	SC_9072	FAM115A-ETV1 fusion	unknown	unknown	unknown	unknown
CANT1		su2c	1115153	CANT1-ETV4 fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	6115115	TMPRSS2-ETV4 fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	6115224	TMPRSS2-ETV4 fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	MO_1054	TMPRSS2-ETV4 fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	MO_1262	TMPRSS2-ETV4 fusion	unknown	unknown	unknown	unknown
FASN		su2c	SC_9065	FASN-ETV4 fusion	unknown	unknown	unknown	unknown
CANT1		su2c	TP_2009	CANT1-ETV4 fusion	unknown	unknown	unknown	unknown
GPR179		su2c	TP_2020	GPR179-ETV4 fusion	unknown	unknown	unknown	unknown
EIF4A2		su2c	MO_1008	EIF4A2-ETV5 fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	SC_9011	TMPRSS2-ETV5 fusion	unknown	unknown	unknown	unknown
GRHL2		su2c	SC_9007	GRHL2-FLI1 fusion	unknown	unknown	unknown	unknown
KIAA1549		su2c	MO_1094	KIAA1549-BRAF fusion	unknown	unknown	unknown	unknown
LSM12		su2c	SC_9093	LSM12-BRAF fusion	unknown	unknown	unknown	unknown
UBN2		su2c	MO_1096	UBN2-BRAF fusion	unknown	unknown	unknown	unknown
GOLGA4		su2c	SC_9058	GOLGA4-RAF1 fusion	unknown	unknown	unknown	unknown
GRHL2		su2c	MO_1202	GRHL2-RSPO2 fusion	unknown	unknown	unknown	unknown
SNX31		su2c	SC_9071	SNX31-RSPO2 fusion	unknown	unknown	unknown	unknown
TBL1XR1		su2c	TP_2061	TBL1XR1-PIK3CA fusion	unknown	unknown	unknown	unknown
ACPP		su2c	MO_1084	ACPP-PIK3CB fusion	unknown	unknown	unknown	unknown
PVT1		su2c	6115250	PVT1-LINC00276 fusion	unknown	unknown	unknown	unknown
PVT1		su2c	MO_1020	PVT1-SLC30A4 fusion	unknown	unknown	unknown	unknown
BMPR1B		su2c	MO_1184	BMPR1B-PVT1 fusion	unknown	unknown	unknown	unknown
RNF139		su2c	MO_1219	RNF139-PVT1 fusion	unknown	unknown	unknown	unknown
RP11-382A18.1.1		su2c	SC_9058	RP11-382A18.1.1-PVT1 fusion	unknown	unknown	unknown	unknown
PVT1		su2c	SC_9083	PVT1-WHSC1L1 fusion	unknown	unknown	unknown	unknown
PVT1		su2c	SC_9084	PVT1-TRGV10 fusion	unknown	unknown	unknown	unknown
BMPR1B		su2c	TP_2010	BMPR1B-PVT1 fusion	unknown	unknown	unknown	unknown
MYC		su2c	MO_1339	MYC-PDLIM5 fusion	unknown	unknown	unknown	unknown
NSMCE2		su2c	MO_1410	NSMCE2-CASC11 fusion	unknown	unknown	unknown	unknown
SLC30A4		su2c	SC_9080	SLC30A4-CASC11 fusion	unknown	unknown	unknown	unknown
NBEA		su2c	6115123	NBEA-CASC11 fusion	unknown	unknown	unknown	unknown
RB1		su2c	MO_1118	RB1-UBE3C fusion	unknown	unknown	unknown	unknown
RB1		su2c	SC_9017	RB1-TOP1 fusion	unknown	unknown	unknown	unknown
TP53		su2c	6115115	TP53-IRF9 fusion	unknown	unknown	unknown	unknown
TP53		su2c	6115224	TP53-RP11-100L22.2.1 fusion	unknown	unknown	unknown	unknown
TP53		su2c	6115234	TP53-KLK2 fusion	unknown	unknown	unknown	unknown
YARS		su2c	6115247	YARS-TP53 fusion	unknown	unknown	unknown	unknown
TP53		su2c	MO_1015	TP53-SMYD4 fusion	unknown	unknown	unknown	unknown
TP53		su2c	MO_1114	TP53-CLNS1A fusion	unknown	unknown	unknown	unknown
MYBBP1A		su2c	MO_1249	MYBBP1A-TP53 fusion	unknown	unknown	unknown	unknown
TP53		su2c	MO_1277	TP53-CDC16 fusion	unknown	unknown	unknown	unknown
SLC39A11		su2c	SC_9021	SLC39A11-TP53 fusion	unknown	unknown	unknown	unknown
POLR2A		su2c	SC_9063	POLR2A-TP53 fusion	unknown	unknown	unknown	unknown
SH3GLB2		su2c	SC_9097	SH3GLB2-TP53 fusion	unknown	unknown	unknown	unknown
ELP5		su2c	TP_2001	ELP5-TP53 fusion	unknown	unknown	unknown	unknown
EPN1		su2c	SC_9020	EPN1-WRAP53 fusion	unknown	unknown	unknown	unknown
FKBP15		su2c	SC_9104	FKBP15-WRAP53 fusion	unknown	unknown	unknown	unknown
PTEN		su2c	1115157	PTEN-CTBP2 fusion	unknown	unknown	unknown	unknown
SGMS1		su2c	6115234	SGMS1-PTEN fusion	unknown	unknown	unknown	unknown
PTEN		su2c	MO_1074	PTEN-BTAF1 fusion	unknown	unknown	unknown	unknown
PTEN		su2c	SC_9028	PTEN-LYZL2 fusion	unknown	unknown	unknown	unknown
PTEN		su2c	SC_9031	PTEN-PPP1R12A fusion	unknown	unknown	unknown	unknown
PTEN		su2c	SC_9035	PTEN-LIPK fusion	unknown	unknown	unknown	unknown
PTEN		su2c	SC_9060	PTEN-SHROOM4 fusion	unknown	unknown	unknown	unknown
PTEN		su2c	SC_9071	PTEN-PTPRT fusion	unknown	unknown	unknown	unknown
PTEN		su2c	SC_9107	PTEN-SYNE3 fusion	unknown	unknown	unknown	unknown
PTEN		su2c	TP_2060	PTEN-PRAMEF2 fusion	unknown	unknown	unknown	unknown
NCOR1		su2c	1115157	NCOR1-YARS fusion	unknown	unknown	unknown	unknown
AC015922.5.1		su2c	1115202	AC015922.5.1-NCOR1 fusion	unknown	unknown	unknown	unknown
NCOR1		su2c	MO_1094	NCOR1-RNF43 fusion	unknown	unknown	unknown	unknown
NCOR1		su2c	MO_1118	NCOR1-PKD1L1 fusion	unknown	unknown	unknown	unknown
NCOR1		su2c	SC_9084	NCOR1-PPP3CB fusion	unknown	unknown	unknown	unknown
BRI3BP		su2c	MO_1161	BRI3BP-NCOR2 fusion	unknown	unknown	unknown	unknown
NCOR2		su2c	MO_1161	NCOR2-KIRREL3 fusion	unknown	unknown	unknown	unknown
EEF1E1-MUTED		su2c	SC_9038	EEF1E1-MUTED-NCOR1 fusion	unknown	unknown	unknown	unknown
ZBTB16		su2c	MO_1114	ZBTB16-USP28 fusion	unknown	unknown	unknown	unknown
C5orf47		su2c	SC_9054	C5orf47-ZBTB16 fusion	unknown	unknown	unknown	unknown
ZBTB16		su2c	SC_9055	ZBTB16-DCDC1 fusion	unknown	unknown	unknown	unknown
CTDSPL		su2c	SC_9058	CTDSPL-ZBTB16 fusion	unknown	unknown	unknown	unknown
ZBTB16		su2c	SC_9093	ZBTB16-RP11-64D24.2.1 fusion	unknown	unknown	unknown	unknown
PIK3R1		su2c	6115242	PIK3R1-ZSCAN21 fusion	unknown	unknown	unknown	unknown
LOC647859		su2c	MO_1094	LOC647859-PIK3R1 fusion	unknown	unknown	unknown	unknown
PIK3R1		su2c	SC_9109	PIK3R1-CCNB1 fusion	unknown	unknown	unknown	unknown
PIK3R1		su2c	TP_2020	PIK3R1-TIAM1 fusion	unknown	unknown	unknown	unknown
MSH2		su2c	SC_9008	MSH2-FSHR fusion	unknown	unknown	unknown	unknown
ERG		su2c	1115154	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	1115157	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	1115183	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	1115244	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	6115122	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	6115234	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	6115247	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	6115117	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	MO_1015	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	MO_1040	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	MO_1071	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	MO_1084	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	MO_1095	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	MO_1114	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	MO_1118	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	MO_1124	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	MO_1161	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	MO_1176	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	MO_1179	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	MO_1192	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	MO_1202	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	MO_1215	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	MO_1241	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	MO_1244	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	MO_1249	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	MO_1263	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	MO_1277	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	MO_1316	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	MO_1337	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	MO_1410	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	SC_9003	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	SC_9009	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	SC_9016	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	SC_9017	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	SC_9018	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	SC_9020	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	SC_9022	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	SC_9026	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	SC_9034	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	SC_9035	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	SC_9037	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	SC_9046	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	SC_9049	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	SC_9056	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	SC_9059	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	SC_9060	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	SC_9061	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	SC_9063	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	SC_9066	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	SC_9071	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	SC_9086	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	SC_9092	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	SC_9097	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	SC_9104	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	SC_9107	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	SC_9109	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	TP_2001	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	TP_2034	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	TP_2054	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	SC_9050	SLC45A3-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	SC_9068	SLC45A3-ERG fusion	unknown	unknown	unknown	unknown
ERG		su2c	SC_9099	SLC45A3-ERG fusion	unknown	unknown	unknown	unknown
ETV1		su2c	6115114	ACPP-ETV1 fusion	unknown	unknown	unknown	unknown
ETV1		su2c	6115118	SLC45A3-ETV1 fusion	unknown	unknown	unknown	unknown
ETV1		su2c	SC_9019	BF222283-ETV1 fusion	unknown	unknown	unknown	unknown
ETV1		su2c	SC_9027	YWHAE-ETV1 fusion	unknown	unknown	unknown	unknown
ETV1		su2c	SC_9028	AGR2-ETV1 fusion	unknown	unknown	unknown	unknown
ETV1		su2c	SC_9055	ALOX15B-ETV1 fusion	unknown	unknown	unknown	unknown
ETV1		su2c	SC_9057	HNRNPA2B1-ETV1 fusion	unknown	unknown	unknown	unknown
ETV1		su2c	SC_9072	FAM115A-ETV1 fusion	unknown	unknown	unknown	unknown
ETV4		su2c	1115153	CANT1-ETV4 fusion	unknown	unknown	unknown	unknown
ETV4		su2c	6115115	TMPRSS2-ETV4 fusion	unknown	unknown	unknown	unknown
ETV4		su2c	6115224	TMPRSS2-ETV4 fusion	unknown	unknown	unknown	unknown
ETV4		su2c	MO_1054	TMPRSS2-ETV4 fusion	unknown	unknown	unknown	unknown
ETV4		su2c	MO_1262	TMPRSS2-ETV4 fusion	unknown	unknown	unknown	unknown
ETV4		su2c	SC_9065	FASN-ETV4 fusion	unknown	unknown	unknown	unknown
ETV4		su2c	TP_2009	CANT1-ETV4 fusion	unknown	unknown	unknown	unknown
ETV4		su2c	TP_2020	GPR179-ETV4 fusion	unknown	unknown	unknown	unknown
ETV5		su2c	MO_1008	EIF4A2-ETV5 fusion	unknown	unknown	unknown	unknown
ETV5		su2c	SC_9011	TMPRSS2-ETV5 fusion	unknown	unknown	unknown	unknown
FLI1		su2c	SC_9007	GRHL2-FLI1 fusion	unknown	unknown	unknown	unknown
BRAF		su2c	MO_1094	KIAA1549-BRAF fusion	unknown	unknown	unknown	unknown
BRAF		su2c	SC_9093	LSM12-BRAF fusion	unknown	unknown	unknown	unknown
BRAF		su2c	MO_1096	UBN2-BRAF fusion	unknown	unknown	unknown	unknown
RAF1		su2c	SC_9058	GOLGA4-RAF1 fusion	unknown	unknown	unknown	unknown
RSPO2		su2c	MO_1202	GRHL2-RSPO2 fusion	unknown	unknown	unknown	unknown
RSPO2		su2c	SC_9071	SNX31-RSPO2 fusion	unknown	unknown	unknown	unknown
PIK3CA		su2c	TP_2061	TBL1XR1-PIK3CA fusion	unknown	unknown	unknown	unknown
PIK3CB		su2c	MO_1084	ACPP-PIK3CB fusion	unknown	unknown	unknown	unknown
LINC00276		su2c	6115250	PVT1-LINC00276 fusion	unknown	unknown	unknown	unknown
SLC30A4		su2c	MO_1020	PVT1-SLC30A4 fusion	unknown	unknown	unknown	unknown
PVT1		su2c	MO_1184	BMPR1B-PVT1 fusion	unknown	unknown	unknown	unknown
PVT1		su2c	MO_1219	RNF139-PVT1 fusion	unknown	unknown	unknown	unknown
PVT1		su2c	SC_9058	RP11-382A18.1.1-PVT1 fusion	unknown	unknown	unknown	unknown
WHSC1L1		su2c	SC_9083	PVT1-WHSC1L1 fusion	unknown	unknown	unknown	unknown
TRGV10		su2c	SC_9084	PVT1-TRGV10 fusion	unknown	unknown	unknown	unknown
PVT1		su2c	TP_2010	BMPR1B-PVT1 fusion	unknown	unknown	unknown	unknown
PDLIM5		su2c	MO_1339	MYC-PDLIM5 fusion	unknown	unknown	unknown	unknown
CASC11		su2c	MO_1410	NSMCE2-CASC11 fusion	unknown	unknown	unknown	unknown
CASC11		su2c	SC_9080	SLC30A4-CASC11 fusion	unknown	unknown	unknown	unknown
CASC11		su2c	6115123	NBEA-CASC11 fusion	unknown	unknown	unknown	unknown
UBE3C		su2c	MO_1118	RB1-UBE3C fusion	unknown	unknown	unknown	unknown
TOP1		su2c	SC_9017	RB1-TOP1 fusion	unknown	unknown	unknown	unknown
IRF9		su2c	6115115	TP53-IRF9 fusion	unknown	unknown	unknown	unknown
RP11-100L22.2.1		su2c	6115224	TP53-RP11-100L22.2.1 fusion	unknown	unknown	unknown	unknown
KLK2		su2c	6115234	TP53-KLK2 fusion	unknown	unknown	unknown	unknown
TP53		su2c	6115247	YARS-TP53 fusion	unknown	unknown	unknown	unknown
SMYD4		su2c	MO_1015	TP53-SMYD4 fusion	unknown	unknown	unknown	unknown
CLNS1A		su2c	MO_1114	TP53-CLNS1A fusion	unknown	unknown	unknown	unknown
TP53		su2c	MO_1249	MYBBP1A-TP53 fusion	unknown	unknown	unknown	unknown
CDC16		su2c	MO_1277	TP53-CDC16 fusion	unknown	unknown	unknown	unknown
TP53		su2c	SC_9021	SLC39A11-TP53 fusion	unknown	unknown	unknown	unknown
TP53		su2c	SC_9063	POLR2A-TP53 fusion	unknown	unknown	unknown	unknown
TP53		su2c	SC_9097	SH3GLB2-TP53 fusion	unknown	unknown	unknown	unknown
TP53		su2c	TP_2001	ELP5-TP53 fusion	unknown	unknown	unknown	unknown
WRAP53		su2c	SC_9020	EPN1-WRAP53 fusion	unknown	unknown	unknown	unknown
WRAP53		su2c	SC_9104	FKBP15-WRAP53 fusion	unknown	unknown	unknown	unknown
CTBP2		su2c	1115157	PTEN-CTBP2 fusion	unknown	unknown	unknown	unknown
PTEN		su2c	6115234	SGMS1-PTEN fusion	unknown	unknown	unknown	unknown
BTAF1		su2c	MO_1074	PTEN-BTAF1 fusion	unknown	unknown	unknown	unknown
LYZL2		su2c	SC_9028	PTEN-LYZL2 fusion	unknown	unknown	unknown	unknown
PPP1R12A		su2c	SC_9031	PTEN-PPP1R12A fusion	unknown	unknown	unknown	unknown
LIPK		su2c	SC_9035	PTEN-LIPK fusion	unknown	unknown	unknown	unknown
SHROOM4		su2c	SC_9060	PTEN-SHROOM4 fusion	unknown	unknown	unknown	unknown
PTPRT		su2c	SC_9071	PTEN-PTPRT fusion	unknown	unknown	unknown	unknown
SYNE3		su2c	SC_9107	PTEN-SYNE3 fusion	unknown	unknown	unknown	unknown
PRAMEF2		su2c	TP_2060	PTEN-PRAMEF2 fusion	unknown	unknown	unknown	unknown
YARS		su2c	1115157	NCOR1-YARS fusion	unknown	unknown	unknown	unknown
NCOR1		su2c	1115202	AC015922.5.1-NCOR1 fusion	unknown	unknown	unknown	unknown
RNF43		su2c	MO_1094	NCOR1-RNF43 fusion	unknown	unknown	unknown	unknown
PKD1L1		su2c	MO_1118	NCOR1-PKD1L1 fusion	unknown	unknown	unknown	unknown
PPP3CB		su2c	SC_9084	NCOR1-PPP3CB fusion	unknown	unknown	unknown	unknown
KIRREL3		su2c	MO_1161	NCOR2-KIRREL3 fusion	unknown	unknown	unknown	unknown
NCOR1		su2c	SC_9038	EEF1E1-MUTED-NCOR1 fusion	unknown	unknown	unknown	unknown
USP28		su2c	MO_1114	ZBTB16-USP28 fusion	unknown	unknown	unknown	unknown
ZBTB16		su2c	SC_9054	C5orf47-ZBTB16 fusion	unknown	unknown	unknown	unknown
DCDC1		su2c	SC_9055	ZBTB16-DCDC1 fusion	unknown	unknown	unknown	unknown
ZBTB16		su2c	SC_9058	CTDSPL-ZBTB16 fusion	unknown	unknown	unknown	unknown
RP11-64D24.2.1		su2c	SC_9093	ZBTB16-RP11-64D24.2.1 fusion	unknown	unknown	unknown	unknown
ZSCAN21		su2c	6115242	PIK3R1-ZSCAN21 fusion	unknown	unknown	unknown	unknown
PIK3R1		su2c	MO_1094	LOC647859-PIK3R1 fusion	unknown	unknown	unknown	unknown
CCNB1		su2c	SC_9109	PIK3R1-CCNB1 fusion	unknown	unknown	unknown	unknown
TIAM1		su2c	TP_2020	PIK3R1-TIAM1 fusion	unknown	unknown	unknown	unknown
FSHR		su2c	SC_9008	MSH2-FSHR fusion	unknown	unknown	unknown	unknown
