index	chromosome	region_start	region_end	peak_start	peak_end	enlarged_peak_start	enlarged_peak_end	n_genes_in_region	genes_in_region	n_genes_in_peak	genes_in_peak	n_genes_on_chip	genes_on_chip	top 3	amp	cytoband	q_value
11	8	65593996	145232496	98421608	98785485	64515496	114579611	249	snoU13|ENSG00000238656.1,SNORD112|ENSG00000252559.1,TMEM74,RNA5SP275,snoU13|ENSG00000238687.1,RIMS2,MIR3151,RNU6ATAC8P,snoU13|ENSG00000238533.1,snoU13|ENSG00000238372.1,RN7SL563P,NACAP1,RN7SKP249,RN7SL685P,RNU6ATAC41P,MIR1273A,SNORD77|ENSG00000212414.1,RN7SL350P,RN7SKP85,KCNS2,NIPAL2,SNORA72|ENSG00000207067.1,LAPTM4B,U3|ENSG00000207215.1,PTDSS1,snoU13|ENSG00000238791.1,FSBP,RNA5SP274,LINC00535,RN7SKP231,snoU13|ENSG00000239134.1,MIR4661,RN7SL777P,RNA5SP273,LINC00534,RNA5SP272,MMP16,REXO1L10P|ENSG00000255940.1,REXO1L11P,REXO1L10P|ENSG00000270416.1,snoU13|ENSG00000238566.1,SLC10A5,IMPA1P,RN7SL308P,RN7SL107P,SNORA20|ENSG00000206649.1,RN7SL41P,snoU13|ENSG00000238595.1,CASC9,RNA5SP271,U8|ENSG00000200191.1,RN7SL19P,snoU13|ENSG00000238450.1,RNA5SP270,RN7SL675P,RN7SKP29,RNA5SP269,PREX2,RNA5SP268,SNORD87,LINC00967,PDE7A,LINC00966,RN7SKP135,ANGPT1,ATP6V1C1,OSGIN2,CA1,CA2,CA3,CALB1,RUNX1T1,CDH17,COX6C,CRH,DECR1,DPYS,E2F5,EYA1,FABP4,FABP5,GEM,HNF4G,IL7,IMPA1,EIF3E,MATN2,MYBL1,NBN,ODF1,PMP2,POLR2K,PKIA,PEX2,RPL7,RPL30,SDC2,SPAG1,STK3,TCEB1,TERF1,KLF10,TPD52,TRHR,UQCRB,YWHAZ,FZD6,RIPK2,CPNE3,TRPA1,CCNE2,EBAG9,MSC,KCNB2,CYP7B1,MTFR1,EMC2,HRSP12,CPQ,NCOA2,ARFGEF1,POP1,COPS5,WWP1,STMN2,RRS1,SULF1,ZFPM2,HEY1,TRAM1,LY96,SGK3,RAD54B,DCAF13,RNF19A,KIAA1429,RGS22,PABPC1,KCNV1,STAU2,BHLHE22,MRPS28,LRP12,RRM2B,MTERFD1,PI15,ZC2HC1A,LACTB2,RMDN1,ZNF706,UBR5,AZIN1,OTUD6B,GDAP1,PDP1,CNGB3,ESRP1,TMEM70,OXR1,ARMC1,UBE2W,TMEM55A,SYBU,INTS8,PAG1,C8orf44,JPH1,ENY2,CPA6,PRDM14,SNX16,NECAB1,ZBTB10,PLEKHF2,ZFAND1,ZFHX4,CSPP1,BAALC,GRHL2,VCPIP1,SLC25A32,DCSTAMP,SLCO5A1,CRISPLD1,NCALD,TRIM55,NUDCD1,LRRCC1,TSPYL5,DNAJC5B,PSKH2,TMEM67,MTDH,CHMP4C,PKHD1L1,TP53INP1,CSMD3,SLC26A7,CTHRC1,OSR2,C8orf34,FAM92A1,NDUFAF6,ABRA,ADHFE1,DCAF4L2,RALYL,RDH10,C8orf56,ANKRD46,C8orf37,VPS13B,SLC7A13,MCMDC2,SBSPON,CNBD1,SNX31,TMEM64,C8orf47,ATP6V0D2,C8orf46,REXO1L1,TRIQK,DPY19L4,FBXO43,PPP1R42,RSPO2,CA13,XKR9,C8orf87,RBM12B,GDF6,C8orf59,ZNF704,SNHG6,FABP9,FABP12,MIR548A3,MIR599,MIR875,TCF24,LRRC69,MIR2053,MIR3150B,MIR378D2,MIR4471,MIR5680,MIR5708,MIR5681A,	2	LAPTM4B,MTDH,	[Not Available]	[Not Available]	[Not Available]	1	8q22.1	3.7005e-05
12	9	129730625	131258911	129730625	130878942	101894278	132369093	290	LINC00963,RN7SL159P,C9orf106,snoU13|ENSG00000239055.1,RN7SL560P,HMGA1P4,URM1,MIR4672,RNA5SP296,SNORA65,SNORD116|ENSG00000252985.1,NRON,RN7SL30P,MIR181A2HG,RN7SL302P,MIR601,GPR21,SNORD90,RN7SL227P,RBM18,RN7SL187P,GGTA1P,RN7SL181P,RN7SKP125,RN7SKP128,SNORA70C,LINC00474,TNFSF8,ATP6V1G1,snoU13|ENSG00000238530.1,MIR455,COL27A1,FKBP15,FAM225A,FAM225B,ZNF883,INIP,C9orf147,RN7SL430P,RNA5SP295,RN7SL57P,MIR4668,UGCG,LRRC37A5P,RNA5SP294,RNY4P18,FRRS1L,MIR32,ACTL7B,RNA5SP293,RN7SL659P,RNA5SP292,RN7SKP77,RN7SKP191,RNA5SP291,LINC00587,TMEM246,SNORA31|ENSG00000253041.1,LPPR1,RN7SKP87,MSANTD3,RN7SL75P,STX17,RN7SKP225,ALG2,RN7SL794P,RNA5SP290,ABCA1,AK1,ALAD,ALDOB,AMBP,BAAT,C5,CCBL1,CDK9,SLC31A1,SLC31A2,CRAT,CYLC2,DBC1,DNM1,LPAR1,MEGF9,ENDOG,ENG,STOM,FKTN,FPGS,NR5A1,NR6A1,GLE1,GNG10,GOLGA1,GOLGA2,GSN,HSPA5,TNC,LCN2,LMX1B,MUSK,NDUFA8,ODF2,ORM1,ORM2,PAPPA,PDCL,PBX3,PPP2R4,PPP3R2,PPP6C,PSMB7,PSMD5,PTGS1,PTPN3,RAD23B,RGS3,RPL12,SET,SPTAN1,STXBP1,TAL2,TGFBR1,TLR4,TRAF1,TXN,ZFP37,ZNF79,ZNF189,NR4A3,IKBKAP,TMEFF1,CTNNAL1,DPM2,PRPF4,KLF4,LHX2,RALGPS1,TNFSF15,PTBP3,SH2D3C,RABEPK,ZER1,SMC2,ZBTB6,NEK6,ACTL7A,SEC61B,SLC27A4,CNTRL,AKAP2,RPL35,DOLK,PTGR1,TRIM32,ERP44,ZBTB43,ASTN2,KIAA0368,SLC44A1,ANGPTL2,NUP188,RABGAP1,TMEM245,CIZ1,DFNB31,NIPSNAP3A,GAPVD1,PHF19,FBXW2,OR1J4,OR2K2,LHX6,OR1L3,OR1L1,OR1J2,TRUB2,ST6GALNAC4,INVS,TOR2A,PKN3,SLC2A8,ST6GALNAC6,DEC1,COQ4,CERCAM,C9orf114,RAB14,POLE3,MRPL50,RC3H2,EPB41L4B,TBC1D13,BSPRY,TEX10,FAM206A,TMEM38B,NIPSNAP3B,STRBP,CDK5RAP2,RNF20,LRRC8A,SH3GLB2,DOLPP1,ZBTB26,DENND1A,SLC46A2,ZNF462,SUSD1,FAM129B,C9orf16,MAPKAP1,SVEP1,PTGES2,AKNA,ARPC5L,HDHD3,FSD1L,GARNL3,HSDL2,ZDHHC12,FAM73B,MVB12B,WDR34,LRSAM1,MRRF,KIF12,PALM2,SLC25A25,WDR31,ZNF618,GRIN3A,RNF183,PTRH1,PIP5KL1,OR13C5,OR13C8,OR13C3,OR13C4,OR13F1,OR1L8,OR1N2,OR1N1,DAB2IP,OR1Q1,TTLL11,TTC16,ZNF483,C9orf84,KIAA1958,OLFML2A,C9orf91,NAIF1,CDC26,PHYHD1,MORN5,OR1L4,TXNDC8,C9orf43,CRB2,SCAI,C9orf117,OR13C9,OR13D1,GPR144,OR1J1,OR1B1,MURC,SWI5,IER5L,OR13C2,OR1L6,OR5C1,OR1K1,FAM102A,C9orf152,SNX30,WDR38,ZBTB34,MIR147A,MIR181A2,MIR181B2,MIR199B,DNAJC25,MIR600HG,MIR3154,MIR3911,MIR3927,MIR3960,MIR4478,	31	MIR4672,RNA5SP296,SNORA65,AK1,CDK9,ENG,FPGS,RPL12,STXBP1,ZNF79,DPM2,RALGPS1,SH2D3C,ANGPTL2,ST6GALNAC4,TOR2A,SLC2A8,ST6GALNAC6,FAM129B,PTGES2,GARNL3,LRSAM1,SLC25A25,PTRH1,PIP5KL1,TTC16,NAIF1,C9orf117,FAM102A,MIR3911,MIR3960,	[Not Available]	[Not Available]	[Not Available]	1	9q33.3	0.059049
13	11	65670510	70787213	67040693	67135846	66547365	69956231	67	FGF3,MIR3164,TPCN2,MIR4691,FAM86C2P,DOC2GP,C11orf72,RN7SL59P,PTPRCAP,RN7SKP239,POLD4,snoU13|ENSG00000238892.1,SYT12,U3|ENSG00000252709.1,ADRBK1,ALDH3B1,ALDH3B2,CCND1,CHKA,CPT1A,FGF4,GSTP1,IGHMBP2,LRP5,NDUFV1,NDUFS8,PC,PPP1CA,RAD9A,RPS6KB2,AIP,PITPNM1,MTL5,FGF19,RCE1,CDK2AP2,TCIRG1,KDM2A,CLCF1,MYEOV,RHOD,GAL,SUV420H1,CABP2,C11orf24,SSH3,ANO1,PPP6R3,CABP4,CORO1B,CARNS1,LRFN4,C11orf80,TMEM134,UNC93B1,ACY3,MRGPRD,MRGPRF,MRPL21,ORAOV1,C11orf86,NUDT8,ANKRD13D,TBX10,TBC1D10C,GPR152,MIR3163,	6	RN7SKP239,POLD4,ADRBK1,CLCF1,SSH3,ANKRD13D,	[Not Available]	[Not Available]	[Not Available]	1	11q13.2	1.1386e-05
14	12	91858528	100916953	100308604	100332210	76102133	123730888	387	RN7SL133P,MIR4304,HCAR1,SNORA9|ENSG00000252192.1,ZCCHC8,MLXIP,BCL7A,ORAI1,SNORA70|ENSG00000201945.1,GATC,RPS27P25,MIR4498,snoU13|ENSG00000272464.1,MIR1178,RN7SKP197,RN7SL508P,SNORA38|ENSG00000201042.1,RNA5SP374,HRK,MAP1LC3B2,LINC00173,MIR620,SNORD56|ENSG00000200112.1,RN7SL865P,SNORA27|ENSG00000252459.1,RN7SKP216,LHX5,RN7SKP71,MIR3657,ADAM1A,U7|ENSG00000272215.1,RNA5SP373,RN7SL387P,PPTC7,SNORD50|ENSG00000202335.1,RN7SL769P,RN7SL441P,RN7SKP250,RNA5SP372,MIR619,SNORA40|ENSG00000264043.2,FICD,RNA5SP371,SNORD74|ENSG00000200897.1,C12orf45,MIR3922,RNA5SP370,HCFC2,MIR3652,snoU13|ENSG00000238914.1,U8|ENSG00000212594.1,LINC00485,RN7SL793P,RNA5SP369,snoU13|ENSG00000238940.1,RNA5SP368,RNA5SP367,snoU13|ENSG00000238800.1,SLC5A8,snoU13|ENSG00000238748.1,RN7SL176P,RNA5SP366,SNORA53,RN7SL179P,SLC9A7P1,RMST,C12orf63,C12orf55,RN7SKP11,ELK3,RN7SL88P,SNRPF,PGAM1P5,KRT19P2,RN7SL483P,RN7SL330P,RN7SKP263,RN7SL630P,RN7SL737P,UBE2N,snoU13|ENSG00000239073.1,SNORD74|ENSG00000201502.1,snoU13|ENSG00000238361.1,snoU13|ENSG00000238865.1,BTG1,LUM,LINC00615,RNA5SP365,LINC00936,KITLG,RNA5SP364,MKRN9P,SNORA3|ENSG00000221148.1,MIR4699,MIR618,MIR617,PTPRQ,RN7SKP261,RNA5SP363,PAWR,RN7SL696P,MIR1252,snoU13|ENSG00000238769.1,RN7SKP172,PHLDA1,RN7SL734P,ACACB,ACADS,ALDH2,APAF1,ARL1,ASCL1,ATP2A2,ATP2B1,CMKLR1,COX6A1,CRY1,CSRP2,DAO,DCN,EPYC,DTX1,DUSP6,HAL,HPD,IGF1,LTA4H,MSI1,MVK,MYBPC1,MYF5,MYF6,MYL2,PPP1R12A,NAP1L1,NFYB,NOS1,NTS,OAS1,OAS2,OAS3,P2RX4,P2RX7,PEBP1,PAH,CDK17,SLC25A3,PLA2G1B,PMCH,PPP1CC,PRKAB1,PSMD9,PTPN11,PXN,RFC5,RFX4,RPL6,RPLP0,CLIP1,ATXN2,SELPLG,SYT1,TBX5,TBX3,HNF1A,TDG,TMPO,NR2C1,HSP90B1,TXNRD1,UNG,ALX1,BRAP,EEA1,RASAL1,PPFIA2,MAPKAPK5,DENR,OASL,DYNLL1,SRSF9,GALNT4,CRADD,LIN7A,SOCS2,HCAR3,HIP1R,RASSF9,CABP1,WSCD2,SART3,KNTC1,MLEC,GIT2,NUAK1,RBM19,RNF10,NR1H4,SH2B3,ARPC3,PLXNC1,MPHOSPH9,CAMKK2,TRAFD1,ERP29,CKAP4,GCN1L1,METAP2,SDS,RAB35,KERA,PRDM4,CIT,PWP1,NUDT4,RPH3A,FBXO21,SETD1B,UHRF1BP1L,CUX2,KIAA1033,MED13L,ZDHHC17,SIRT4,ABCB9,ISCU,CORO1C,MGAT4C,FBXW8,HSPB8,UTP20,MRPL42,IFT81,CCDC59,FAM216A,SYCP3,CHST11,CCDC53,CCDC41,GPN3,GLTP,ARL6IP4,TAOK3,POP5,ANAPC5,ANAPC7,TRIAP1,NT5DC3,VPS29,TPCN1,SSH1,RHOF,VSIG10,TESC,PARPBP,SLC6A15,RIC8B,APPL2,DRAM1,SVOP,STAB2,VEZT,GOLGA2B,SCYL2,POLR3B,FGD6,WSB2,NDUFA12,DIABLO,ANKS1B,CHPT1,TMCC3,PITPNM2,NTN4,TRPV4,SUDS3,ACTR6,C12orf43,VPS33A,RSRC2,NUP37,DDX54,GNPTAB,B3GNT4,TCTN1,ACSS3,OGFOD2,VPS37B,BBS10,C12orf49,NAA25,SLC24A6,CEP290,RNF34,MTERFD3,ACAD10,GLT8D2,KCTD10,USP44,SLC41A2,LRRIQ1,METTL25,TCHP,COQ5,HVCN1,SRRM4,CCDC62,KDM2B,UNC119B,USP30,RNFT2,FAM222A,C12orf52,ANKRD13A,NAV3,TMEM116,UBE3B,C12orf23,C12orf29,C12orf65,CCDC64,SDSL,OSBPL8,IQCD,DEPDC4,CCDC38,NEDD1,IKBIP,ASCL4,BTBD11,SPIC,ANO4,ALKBH2,FOXN4,SPPL3,AMDHD1,TMEM120B,WDR66,TSPAN19,E2F7,RAD9B,FAM109A,TMTC2,TMTC3,C12orf50,ALDH1L2,CCDC63,CCDC60,PLBD2,FAM71C,CCER1,SLC17A8,LRRC43,TCP11L2,C12orf79,POC1B,OTOGL,MORN3,GAS2L3,MYO1H,HECTD4,KSR2,MMAB,HCAR2,TMEM119,C12orf74,C12orf42,IL31,C12orf75,CCDC42B,TMEM233,C12orf76,MIR135A2,PLEKHG7,MIR331,EID3,CLLU1OS,CLLU1,MIR492,C12orf73,MIR1251,MIR4303,MIR3685,MIR4495,MIR4700,MIR4497,MIR5700,	1	ANKS1B,	[Not Available]	[Not Available]	[Not Available]	1	12q23.1	0.016187
15	13	20105323	21603036	21396967	21398979	19559651	24578032	53	ANKRD20A19P,LINC00352,LINC00327,LINC00362,RNY3P4,LINC00621,SNORD36|ENSG00000253094.1,LINC00424,RN7SL766P,snoU13|ENSG00000238878.1,ZDHHC20,RNA5SP25,MIPEPP3,ESRRAP2,RN7SL80P,SNORD27|ENSG00000252128.1,snoU13|ENSG00000238893.1,HNRNPA1P30,MIR4499,LINC00556,snoU13|ENSG00000238665.1,RN7SL166P,PSPC1,LINC00350,LINC00421,TUBA3C,RNA5SP24,LINC00442,PHF2P2,FGF9,GJA3,GJB2,MIPEP,SGCG,ZMYM2,IFT88,ZMYM5,SAP18,GJB6,SACS,LATS2,CRYL1,IL17D,MPHOSPH8,TNFRSF19,XPO4,MRP63,TPTE2,N6AMT2,SKA3,MICU2,SPATA13,C1QTNF9B,	1	XPO4,	[Not Available]	[Not Available]	[Not Available]	1	13q12.11	0.047145
16	14	37065460	38160247	38012964	38045262	37964233	38051911	1	MIPOL1,	1	MIPOL1,	[Not Available]	[Not Available]	[Not Available]	1	14q21.1	0.00029839
17	15	23702085	26018232	25436179	25443974	23687685	26013299	51	RNA5SP390,ATP10A,SNORD109B,SNORD115|ENSG00000212428.1,SNORD109A,SNORD108,SNORD64|ENSG00000270704.2,SNHG14,SNURF,snoU13|ENSG00000238615.1,PWRN1,PWRN2,MAGEL2,RN7SL536P,GOLGA8S,RN7SL106P,HERC2P2,RN7SL495P,WHAMMP3,RN7SL545P,GOLGA8DP,MIR1268A,OR4N4,snoU13|ENSG00000238960.1,DKFZP547L112,RN7SL400P,CT60,NBEAP1,RN7SL759P,GOLGA6L6,snoU13|ENSG00000239083.1,CHEK2P2,RN7SL584P,NDN,SNRPN,UBE3A,MKRN3,CYFIP1,NPAP1,NIPA2,TUBGCP5,NIPA1,GOLGA6L2,HERC2P3,GOLGA6L1,GOLGA8I,GOLGA8EP,OR4M2,POTEB2,MIR4508,POTEB,	1	SNHG14,	[Not Available]	[Not Available]	[Not Available]	1	15q11.2	0.015423
18	16	46507665	48217998	46727255	47171333	46508460	47387176	11	ITFG1,snoU13|ENSG00000238834.1,MYLK3,VPS35,ANKRD26P1,DNAJA2,ORC6,SHCBP1,NETO2,GPT2,C16orf87,	8	snoU13|ENSG00000238834.1,MYLK3,VPS35,DNAJA2,ORC6,NETO2,GPT2,C16orf87,	[Not Available]	[Not Available]	[Not Available]	1	16q11.2	0.0028453
19	17	59463456	60416101	59908755	59972483	59788895	60188609	4	RN7SL800P,BRIP1,MED13,INTS2,	2	BRIP1,INTS2,	[Not Available]	[Not Available]	[Not Available]	1	17q23.2	0.0039738
20	17	19152102	19265596	19152173	19245009	18860763	19261220	10	MIR1180,SNORD3C,SNORD3A,GRAPL,SNORD3D,GRAP,FAM83G,EPN2,B9D1,SLC5A10,	3	MIR1180,EPN2,B9D1,	[Not Available]	[Not Available]	[Not Available]	1	17p11.2	0.19657
21	18	56116726	56128518	56116726	56124009	55902326	56445257	5	SNORD28|ENSG00000252284.1,MALT1,NEDD4L,ALPK2,MIR122,	2	NEDD4L,MIR122,	[Not Available]	[Not Available]	[Not Available]	1	18q21.31	0.21414
22	19	56951009	56996595	56951009	56987172	53896633	58249643	197	ZNF134,ZNF548,ZNF805,ZNF264,DUXA,U3|ENSG00000252683.1,MIMT1,SMIM17,ZNF71,ZSCAN5D,ZSCAN5C,RFPL4AL1,RN7SKP109,CCDC106,TMEM238,SYT5,snoU13|ENSG00000239137.1,KIR3DX1,LILRA6,LENG1,NDUFA3,MIR935,MIR371B,RN7SL317P,ZNF813,ZNF761,FCAR,IL11,KIR2DL1,KIR2DL3,KIR2DL4,KIR2DS4,KIR3DL1,KIR3DL2,LAIR1,LAIR2,CNOT3,PEG3,PRKCG,PTPRH,RPL28,RPS9,AURKC,TNNI3,TNNT1,ZNF17,ZNF154,NCR1,LILRB2,ZNF211,TRAPPC2P1,ZNF460,LILRB1,LILRB5,LILRB4,LILRA1,LILRB3,LILRA3,LILRA2,U2AF2,PPP6R1,LILRA4,ZIM2,HSPBP1,PRPF31,UBE2S,TFPT,EPN1,ZNF580,GP6,ZNF581,PPP1R12C,EPS8L1,ZNF444,ZNF331,NLRP2,ZNF416,NAT14,VN1R1,ZNF304,TTYH1,ZNF471,USP29,CACNG8,CACNG7,CACNG6,ZNF667,TSEN34,MBOAT7,ZSCAN5A,ZNF419,ISOC2,ZNF671,BRSK1,SUV420H2,FIZ1,GALP,ZNF628,ZNF551,ZNF835,ZNF765,NLRP12,MYADM,LENG9,RDH13,ZIM3,LENG8,KIR3DL3,ZNF543,COX6B2,OSCAR,NLRP13,NLRP8,NLRP5,ZNF787,ZFP28,TMEM190,TMC4,TPM3P9,ZNF524,ZNF784,NLRP4,ZNF542,ZNF582,ZNF583,CDC42EP5,ZNF550,ZNF579,NLRP7,ZSCAN4,NLRP11,TMEM86B,ZNF549,SSC5D,ZNF547,ZIK1,VSTM1,TMEM150B,FAM71E2,NLRP9,RFPL4A,ZSCAN5B,ZNF530,DNAAF3,LILRA5,ZNF773,ZNF470,ZNF749,ZNF772,TARM1,MIR371A,MIR372,MIR373,DPRX,MIR498,MIR520E,MIR519E,MIR520F,MIR519C,MIR520A,MIR526B,MIR519B,MIR525,MIR523,MIR518F,MIR520B,MIR518B,MIR526A1,MIR520C,MIR518C,MIR524,MIR517A,MIR519D,MIR520D,MIR517B,MIR520G,MIR516B2,MIR526A2,MIR518E,MIR518A1,MIR518D,MIR516B1,MIR518A2,MIR517C,MIR520H,MIR522,MIR519A1,MIR527,MIR516A1,MIR516A2,MIR519A2,SBK2,SHISA7,SGK110,MIR1323,ZNF865,MIR4752,	1	ZNF667,	[Not Available]	[Not Available]	[Not Available]	1	19q13.43	0.17703
23	20	52037408	52717729	52163637	52384462	41750085	62219837	274	NPBWR2,MIR647,MIR1914,C20ORF135,SLC2A4RG,MIR4326,MIR3196,HAR1A,HAR1B,LINC00029,GID8,LINC00659,LINC00686,MIR133A2,MIR4758,ATP5E,MGC4294,ANKRD60,RAE1,RN7SL170P,U3|ENSG00000252536.1,FAM209A,GCNT7,snoU13|ENSG00000238294.1,RNA5SP487,RNU4ATAC7P,RN7SKP184,RN7SL603P,MIR3194,RN7SL672P,RN7SL636P,LINC00651,snoU13|ENSG00000239157.1,RN7SL197P,KCNB1,SNORD12,SNORD12B,SNORD12C,ZFAS1,LINC00494,SNORD36|ENSG00000252227.1,RNA5SP486,RN7SL243P,MIR3616,RN7SKP33,SNX21,RNU6ATAC38P,SPINT4,WFDC10A,RNA5SP485,RBPJL,RN7SL31P,KCNK15,MIR3646,R3HDML,FITM2,RN7SL443P,SCARNA15|ENSG00000252193.1,RN7SL666P,ADA,BMP7,CD40,CDH4,CEBPB,CHRNA4,COL9A3,CSE1L,CSTF1,CTSZ,CYP24A1,EDN3,EEF1A2,EYA2,GNAS,HNF4A,KCNG1,KCNQ2,KCNS1,LAMA5,MC3R,MMP9,MYBL2,MYT1,NFATC2,NTSR1,OPRL1,PCK1,PFDN4,PI3,PLTP,CTSA,PPP1R3D,PSMA7,PTGIS,PTK6,PTPN1,RPS21,SDC4,SEMG1,SEMG2,SRSF6,SLPI,SNAI1,SRMS,STAU1,STK4,AURKA,TAF4,TCEA2,TFAP2C,TNNC2,TPD52L2,UBE2V1,YWHAB,ZNF217,NCOA3,BCAS1,STX16,TNFRSF6B,MATN4,DPM1,WISP2,VAPB,B4GALT5,SPATA2,OSBPL2,ACOT8,ATP9A,SGK2,ARFRP1,RGS19,SYCP2,WFDC2,ARFGEF2,TCFL5,SPINT3,TOMM34,SERINC3,ADRM1,OGFR,UBE2C,DIDO1,PTPRT,PKIG,HRH3,SLC9A8,ADNP,ZMYND8,SPO11,PRPF6,L3MBTL1,SS18L1,MTG2,GMEB2,TP53TG5,MOCS3,SLCO4A1,STMN3,SLC35C2,SLMO2,IFT52,NELFCD,RTFDC1,OSER1,PIGT,RTEL1,SOX18,YTHDF1,LIME1,UCKL1,PCMTD2,MRGBP,PPP4R1L,RBM38,BCAS4,DDX27,ZNF334,ZFP64,ARFGAP1,DOK5,DBNDD2,RNF114,SULF2,PMEPA1,CASS4,EPPIN,JPH2,SALL4,ZNFX1,RAB22A,SLC12A5,ZNF512B,PREX1,COL20A1,NCOA5,CDH26,SLC17A9,ELMO2,ZNF335,PCIF1,FAM217B,CDH22,SLC13A3,GDAP1L1,C20orf195,PPDPF,TTPAL,BIRC7,NPEPL1,DNAJC5,PABPC1L,TUBB1,ZBP1,SLC2A10,CABLES2,PARD6B,ZGPAT,TOX2,HELZ2,SYS1,WFDC8,ZSWIM1,TP53RK,DNTTIP1,FAM210B,PHACTR3,BHLHE23,NKAIN4,WFDC12,SPATA25,OCSTAMP,TSHZ2,C20orf85,ZNF831,C20orf166,GATA5,ZBTB46,WFDC3,CBLN4,CTCFL,SAMD10,ABHD16B,RIMS4,NEURL2,ZSWIM3,C20orf62,WFDC6,FAM65C,RBBP8NL,GTSF1L,WFDC5,LSM14B,WFDC13,APCDD1L,C20orf201,WFDC11,WFDC9,WFDC10B,LINC00176,C20orf197,TMEM189,FAM209B,MIR296,MIR645,MIR646,MIR298,MIR1257,MIR4325,MTRNR2L3,MIR3617,MIR4756,MIR4532,MIR4533,MIR548AG2,	1	ZNF217,	[Not Available]	[Not Available]	[Not Available]	1	20q13.2	0.07085
24	X	15075442	19304601	16851556	17015574	16762158	17152334	5	SNORA16|ENSG00000201467.1,SYAP1,RBBP7,REPS2,TXLNG,	3	RBBP7,REPS2,TXLNG,	[Not Available]	[Not Available]	[Not Available]	1	Xp22.2	0.00021979
25	X	126306275	126316000	126307811	126312322	126306477	126312614	0	[CXorf64]	0	[CXorf64]	[Not Available]	[Not Available]	[Not Available]	1	Xq25	0.00029839
26	X	80831928	80841230	80831928	80832166	80830574	80832377	0	[SH3BGRL]	0	[SH3BGRL]	[Not Available]	[Not Available]	[Not Available]	1	Xq21.1	0.026607
27	X	87708666	87710836	87708666	87710097	87708234	87710167	0	[CPXCR1]	0	[CPXCR1]	[Not Available]	[Not Available]	[Not Available]	1	Xq21.31	0.047145
28	X	66895428	67143433	66939656	67118920	64163334	67309867	10	AR,MSN,OPHN1,HEPH,VSIG4,ZC4H2,EDA2R,LAS1L,ZC3H12B,MIR223,	1	AR,	[Not Available]	[Not Available]	[Not Available]	1	Xq12	0.020479
